CID,CityName/AreaName,Pincode,District,State,Locality,Location,Latitude,Longitude,distance(in kms)
101582,Otteri Extension,600048,Kanchipuram,TAMIL NADU,"Otteri Extension,600048,Kanchipuram,TAMIL NADU","Otteri Extn, Vandalur, Chennai, Kancheepuram, Tamil Nadu",12.881030000000067,80.07593000000008,19.512232316028573
101583,Vandalur,600048,Kanchipuram,TAMIL NADU,"Vandalur,600048,Kanchipuram,TAMIL NADU",Vandalur,12.879580000000033,80.08006000000006,19.116926312935348
101618,Iyyappanthangal,600056,Kanchipuram,TAMIL NADU,"Iyyappanthangal,600056,Kanchipuram,TAMIL NADU","600056, Iyyapanthangal, Chennai, Kancheepuram, Tamil Nadu",13.036959143111181,80.13511461416246,17.770454709641996
101629,Ganapathipuram(CMT),600058,Kanchipuram,TAMIL NADU,"Ganapathipuram(CMT),600058,Kanchipuram,TAMIL NADU","Ganapathipuram, East Tambaram, Chennai, Kancheepuram, Tamil Nadu",12.919430000000034,80.11448000000007,14.77200682565831
101630,Christian College Tambaram,600059,Kanchipuram,TAMIL NADU,"Christian College Tambaram,600059,Kanchipuram,TAMIL NADU",Madras Christian College,12.92321000000004,80.12056000000007,14.106822492122571
101631,Kasthuribainagar,600059,Kanchipuram,TAMIL NADU,"Kasthuribainagar,600059,Kanchipuram,TAMIL NADU","Kasthuribai Nagar, Anakaputhur, Chennai, Kancheepuram, Tamil Nadu",12.988750000000039,80.12874000000005,15.086366598928219
101632,LIC Colony,600059,Kanchipuram,TAMIL NADU,"LIC Colony,600059,Kanchipuram,TAMIL NADU","Lic Colony, Anakaputhur, Chennai, Kancheepuram, Tamil Nadu",12.974740000000054,80.12955000000005,14.323024336929759
101633,Lic Colony Tambaram,600059,Kanchipuram,TAMIL NADU,"Lic Colony Tambaram,600059,Kanchipuram,TAMIL NADU",Lic,12.922660000000064,80.13320000000004,12.735208215001743
101634,State Bank Colony,600059,Kanchipuram,TAMIL NADU,"State Bank Colony,600059,Kanchipuram,TAMIL NADU","State Bank Colony, Pammal, Chennai, Kancheepuram, Tamil Nadu",12.97986000000003,80.14513000000005,13.054331728994352
101635,Sundaram Colony,600059,Kanchipuram,TAMIL NADU,"Sundaram Colony,600059,Kanchipuram,TAMIL NADU","Sundaram Colony, East Tambaram, Chennai, Kancheepuram, Tamil Nadu",12.931880000000035,80.13073000000009,13.039951199371913
101636,Tambaram East,600059,Kanchipuram,TAMIL NADU,"Tambaram East,600059,Kanchipuram,TAMIL NADU","600059, East Tambaram, Chennai, Kancheepuram, Tamil Nadu",12.917369931628281,80.12517612326683,13.620314363238599
101640,Nanganallur Bazaar,600061,Kanchipuram,TAMIL NADU,"Nanganallur Bazaar,600061,Kanchipuram,TAMIL NADU",Post Office-Nanganallur Bazaar,12.985590000000059,80.18843000000004,9.6630604534947
101641,Nanganallur,600061,Kanchipuram,TAMIL NADU,"Nanganallur,600061,Kanchipuram,TAMIL NADU","600061, Nanganallur, Chennai, Kancheepuram, Tamil Nadu",12.979919905749531,80.18678684418914,9.35514063922969
101642,Pazhavanthangal,600061,Kanchipuram,TAMIL NADU,"Pazhavanthangal,600061,Kanchipuram,TAMIL NADU","600061, Pazhavanthangal, Chennai, Kancheepuram, Tamil Nadu",12.986389959755037,80.1881962488591,9.744253289990791
101649,Old Perungalathur,600063,Kanchipuram,TAMIL NADU,"Old Perungalathur,600063,Kanchipuram,TAMIL NADU","600063, Old Perungalathur, Chennai, Kancheepuram, Tamil Nadu",12.927531569905263,80.08839198655386,17.604581012966225
101650,Srinivasanagar East,600063,Kanchipuram,TAMIL NADU,"Srinivasanagar East,600063,Kanchipuram,TAMIL NADU","Srinivasa Nagar, Chitlapakkam, Chennai, Kancheepuram, Tamil Nadu",12.939780000000042,80.14285000000007,11.833938437530204
101651,Srinivasanagar (Kanchipuram),600063,Kanchipuram,TAMIL NADU,"Srinivasanagar (Kanchipuram),600063,Kanchipuram,TAMIL NADU","Srinivasa Nagar, New Perungalathur, Chennai, Kancheepuram, Tamil Nadu",12.911540000000059,80.09258000000005,17.190410350005564
101652,Chitlapakkam,600064,Kanchipuram,TAMIL NADU,"Chitlapakkam,600064,Kanchipuram,TAMIL NADU","600064, Chitlapakkam, Chennai, Kancheepuram, Tamil Nadu",12.932997202583056,80.14412863631239,11.601720150415915
101653,Hasthinapuram,600064,Kanchipuram,TAMIL NADU,"Hasthinapuram,600064,Kanchipuram,TAMIL NADU","600064, Hasthinapuram, Chennai, Kancheepuram, Tamil Nadu",12.93945387993259,80.15027108252647,11.033327173766024
101665,Kunnathur (Kanchipuram),600069,Kanchipuram,TAMIL NADU,"Kunnathur (Kanchipuram),600069,Kanchipuram,TAMIL NADU","Kānchipuram, Tamil Nādu",12.835150000000056,79.70006000000006,60.53447344940606
101666,Nandambakkam,600069,Kanchipuram,TAMIL NADU,"Nandambakkam,600069,Kanchipuram,TAMIL NADU","600069, Nandambakkam, Chennai, Kancheepuram, Tamil Nadu",12.978089073220707,80.05803709712964,21.760053757924346
101667,Sirukalathur,600069,Kanchipuram,TAMIL NADU,"Sirukalathur,600069,Kanchipuram,TAMIL NADU","600069, Sirukalathur, Chennai, Kancheepuram, Tamil Nadu",12.990867608771088,80.0682357867763,21.158903663712085
101668,Somangalam,600069,Kanchipuram,TAMIL NADU,"Somangalam,600069,Kanchipuram,TAMIL NADU","600069, Somangalam, Sriperumbudur, Kancheepuram, Tamil Nadu",12.952143580814106,80.04090605805966,22.97661117619368
101669,South Malayambakkam,600069,Kanchipuram,TAMIL NADU,"South Malayambakkam,600069,Kanchipuram,TAMIL NADU","South Malayambakkam, Kundrathur, Chennai, Kancheepuram, Tamil Nadu",13.01195000000007,80.08810000000005,20.186717652590033
