CID,CityName/AreaName,Pincode,District,State,Latitude,Longitude,distance(in kms)
102125,Pakkam,603306,Kanchipuram,TAMIL NADU,12.505718231201172,79.88036346435547,63.88487483117262
102126,Perumbakkam,603306,Kanchipuram,TAMIL NADU,12.505718231201172,79.88036346435547,63.88487483117262
102127,Senguntharpettai,603306,Kanchipuram,TAMIL NADU,12.505718231201172,79.88036346435547,63.88487483117262
102128,Thatchur,603306,Kanchipuram,TAMIL NADU,12.505718231201172,79.88036346435547,63.88487483117262
102129,Unamalai,603306,Kanchipuram,TAMIL NADU,12.505718231201172,79.88036346435547,63.88487483117262
102130,Vanniarpettai,603306,Kanchipuram,TAMIL NADU,12.505718231201172,79.88036346435547,63.88487483117262
102131,Veeranakunnam,603306,Kanchipuram,TAMIL NADU,12.505718231201172,79.88036346435547,63.88487483117262
102132,Ananthamangalam,603307,Kanchipuram,TAMIL NADU,12.382513046264648,79.69161224365234,87.7498890747034
102133,Minnal Sithamur,603307,Kanchipuram,TAMIL NADU,12.382513046264648,79.69161224365234,87.7498890747034
102134,Orathy,603307,Kanchipuram,TAMIL NADU,12.382513046264648,79.69161224365234,87.7498890747034
102135,Sirudamur,603307,Kanchipuram,TAMIL NADU,12.382513046264648,79.69161224365234,87.7498890747034
102136,Vadamanipakkam,603307,Kanchipuram,TAMIL NADU,12.382513046264648,79.69161224365234,87.7498890747034
102137,Budur,603308,Kanchipuram,TAMIL NADU,12.5957670211792,79.9236068725586,53.280401937061285
102138,Bukkathurai,603308,Kanchipuram,TAMIL NADU,12.5957670211792,79.9236068725586,53.280401937061285
102139,Isur,603308,Kanchipuram,TAMIL NADU,12.5957670211792,79.9236068725586,53.280401937061285
102140,Kallabiranpuram,603308,Kanchipuram,TAMIL NADU,12.5957670211792,79.9236068725586,53.280401937061285
102141,Kolampakkam,603308,Kanchipuram,TAMIL NADU,12.5957670211792,79.9236068725586,53.280401937061285
102142,Malaivaiyavur,603308,Kanchipuram,TAMIL NADU,12.5957670211792,79.9236068725586,53.280401937061285
102143,Padalam,603308,Kanchipuram,TAMIL NADU,12.5957670211792,79.9236068725586,53.280401937061285
102144,Palayanur,603308,Kanchipuram,TAMIL NADU,12.5957670211792,79.9236068725586,53.280401937061285
102145,Mugundagiri,603309,Kanchipuram,TAMIL NADU,12.416150093078613,79.89016723632812,71.20525985232496
102146,Paiyambadi,603309,Kanchipuram,TAMIL NADU,12.416150093078613,79.89016723632812,71.20525985232496
102147,Perukkaranai,603309,Kanchipuram,TAMIL NADU,12.416150093078613,79.89016723632812,71.20525985232496
102148,Polambakkam,603309,Kanchipuram,TAMIL NADU,12.416150093078613,79.89016723632812,71.20525985232496
102157,Ozhavetti,603311,Kanchipuram,TAMIL NADU,12.445151329040527,79.93372344970702,65.939793489219
102158,Peria Venmani,603311,Kanchipuram,TAMIL NADU,12.445151329040527,79.93372344970702,65.939793489219
102159,Zamin Endathur,603311,Kanchipuram,TAMIL NADU,12.445151329040527,79.93372344970702,65.939793489219
102160,Anaicut,603312,Kanchipuram,TAMIL NADU,12.460022926330565,80.00762176513672,60.5854646301067
102161,Iranya Sidhi,603312,Kanchipuram,TAMIL NADU,12.460022926330565,80.00762176513672,60.5854646301067
102162,K.Nelvoy,603312,Kanchipuram,TAMIL NADU,12.460022926330565,80.00762176513672,60.5854646301067
102163,Kalkulam,603312,Kanchipuram,TAMIL NADU,12.460022926330565,80.00762176513672,60.5854646301067
102164,Lathur,603312,Kanchipuram,TAMIL NADU,12.460022926330565,80.00762176513672,60.5854646301067
102165,Palur,603312,Kanchipuram,TAMIL NADU,12.460022926330565,80.00762176513672,60.5854646301067
102166,Pavunjur,603312,Kanchipuram,TAMIL NADU,12.460022926330565,80.00762176513672,60.5854646301067
102167,Seevadi,603312,Kanchipuram,TAMIL NADU,12.460022926330565,80.00762176513672,60.5854646301067
102168,Tiruvadur,603312,Kanchipuram,TAMIL NADU,12.460022926330565,80.00762176513672,60.5854646301067
102169,Chithamur,603313,Kanchipuram,TAMIL NADU,12.406220436096193,79.91578674316406,70.62905515956278
102170,Kattudevadur,603313,Kanchipuram,TAMIL NADU,12.406220436096193,79.91578674316406,70.62905515956278
102171,Neerpair,603313,Kanchipuram,TAMIL NADU,12.406220436096193,79.91578674316406,70.62905515956278
102172,Nugumbal,603313,Kanchipuram,TAMIL NADU,12.406220436096193,79.91578674316406,70.62905515956278
